Cluster,Tuoi,GioiTinh,NgheNghiep,ThuNhap,MucChiTra,QuanTamThienNhien,LoaiDauGoi,UT_GiaCa,UT_ThanhPhan,UT_MuiHuong,UT_CongDung,UT_BaoBi,SoLuongNguoi
0,21.050632911392405,Nam,Học sinh / Sinh viên,Dưới 3 triệu đồng,100.000 VND - 200.000 VND,Có,Dầu gội làm sạch sâu,2.8607594936708862,2.8227848101265822,3.0,3.2911392405063293,2.2911392405063293,79
1,40.0,Nữ,Nhân viên văn phòng,Trên 10 triệu đồng,100.000 VND - 200.000 VND,Có,Dầu gội thảo dược,3.0,3.4166666666666665,3.0,3.75,2.75,12
2,30.0,Nữ,Nhân viên văn phòng,Trên 10 triệu đồng,200.000 VND - 400.000 VND,Có,"Dầu gội dùng hàng ngày, Dầu gội tạo phồng tóc",3.25,3.5,3.0,3.5,2.75,4
3,50.0,Nữ,Nhân viên văn phòng,Trên 10 triệu đồng,200.000 VND - 400.000 VND,Có,Dầu gội thảo dược,2.5,3.3,3.3,3.6,2.4,10
